Grambling St.,-18.67,32.520284,-92.723578,,,,,,,,,,,,,,,,,,
Grand Canyon,1.27,33.510152,-112.128884,,,,,,,,,,,,,,,,,,
Green Bay,-5.1,44.499547,-88.055049,,,,,,,,,,,,,,,,,,
Hampton,-9.89,37.01974,-76.33108,,,,,,,,,,,,,,,,,,
Harvard,-1.51,42.368218,-71.125291,,,,,,,,,,,,,,,,,,
High Point,-7.93,35.9741251,-79.9954946,,,,,,,,,,,,,,,,,,
Hofstra,-1.62,40.719681,-73.596865,,,,,,,,,,,,,,,,,,
Holy Cross,-10.21,42.235046,-71.806381,,,,,,,,,,,,,,,,,,
Houston,20.09,29.72472,-95.34694,,,,,,,,,,,,,,,,,,
Houston Christian,-16.7,29.695,-95.51694,,,,,,,,,,,,,,,,,,
Howard,-16.59,38.9264,-77.0221,,,,,,,,,,,,,,,,,,
Idaho,-9.06,46.726,-117.011,,,,,,,,,,,,,,,,,,
Idaho St.,-10.81,42.87,-112.429,,,,,,,,,,,,,,,,,,
Illinois,24.35,40.096259,-88.235956,,,,,,,,,,,,,,,,,,
Illinois Chicago,-3.46,41.87472,-87.65611,,,,,,,,,,,,,,,,,,
Illinois St.,1.37,40.5106056,-88.9990111,,,,,,,,,,,,,,,,,,
Incarnate Word,-16.09,29.468139,-98.469417,,,,,,,,,,,,,,,,,,
Indiana,25.21,39.18083,-86.52222,,,,,,,,,,,,,,,,,,
Indiana St.,0.84,39.46833,-87.405,,,,,,,,,,,,,,,,,,
Iona,-1.34,40.92664,-73.784325,,,,,,,,,,,,,,,,,,
Iowa,17.65,41.66361,-91.55444,,,,,,,,,,,,,,,,,,
Iowa St.,19.67,42.02101,-93.634763,,,,,,,,,,,,,,,,,,
IU Indy,-9.39,39.8275,-86.135,,,,,,,,,,,,,,,,,,
Jackson St.,-15.19,32.299724,-90.211887,,,,,,,,,,,,,,,,,,
Jacksonville,-9.82,30.35028,-81.605,,,,,,,,,,,,,,,,,,
Jacksonville St.,-5.41,33.824,-85.773,,,,,,,,,,,,,,,,,,
James Madison,-4.05,38.43043668,-78.85957444,,,,,,,,,,,,,,,,,,
Kansas,39.84,38.954306,-95.2523944,,,,,,,,,,,,,,,,,,
Kansas City,-9.1,39.03555,-94.57876,,,,,,,,,,,,,,,,,,
Kansas St.,17.73,39.200361,-96.593833,,,,,,,,,,,,,,,,,,
Kennesaw St.,-10.41,34.036924,-84.580329,,,,,,,,,,,,,,,,,,
Kent St.,0.96,41.148,-81.344,,,,,,,,,,,,,,,,,,
Kentucky,40.83,38.04944,-84.50278,,,,,,,,,,,,,,,,,,
La Salle,0.13,40.039993,-75.15654,,,,,,,,,,,,,,,,,,
Lafayette,-11.58,40.7019,-75.2107,,,,,,,,,,,,,,,,,,
Lamar,-10.08,30.04389,-94.07083,,,,,,,,,,,,,,,,,,
Le Moyne,-18.53,43.0502,-76.0848,,,,,,,,,,,,,,,,,,
Lehigh,-9.64,40.58444,-75.35694,,,,,,,,,,,,,,,,,,
Liberty,-2.43,37.349356,-79.180225,,,,,,,,,,,,,,,,,,
Lindenwood,-19.25,38.78912,-90.50352,,,,,,,,,,,,,,,,,,
Lipscomb,-6.19,36.1038333,-86.7988361,,,,,,,,,,,,,,,,,,
Little Rock,-7.94,34.72778,-92.33972,,,,,,,,,,,,,,,,,,
LIU,-13.48,40.69059,-73.979176,,,,,,,,,,,,,,,,,,
Long Beach St.,-3.3,33.78722,-118.11417,,,,,,,,,,,,,,,,,,
Longwood,-11.98,37.2975,-78.3955,,,,,,,,,,,,,,,,,,
Louisiana,-1.66,30.218444,-92.039056,,,,,,,,,,,,,,,,,,
Louisiana Monroe,-9.11,32.531,-92.069,,,,,,,,,,,,,,,,,,
Louisiana Tech,1.57,32.5321,-92.6584,,,,,,,,,,,,,,,,,,
Louisville,25.77,38.2575,-85.75389,,,,,,,,,,,,,,,,,,
Loyola Chicago,2.89,42.00056,-87.65889,,,,,,,,,,,,,,,,,,
